"","year","State","Politician","Politician_Party","Politician_Vote_Share","Opp","Opp_Party","Opp_Vote_Share","Unopposed","Wiki_Missing","Close_Election","Leg_Body"
"1068","1922","Maryland","William Cabell Bruce","100",52.6,"
Joseph I. France ","200",45.6,0,0,0,1
"1069","1926","Maryland","Millard E. Tydings","100",57.5,"Ovington E. Weller ","200",41.4,0,0,0,1
"1070","1928","Maryland","Phillips Lee Goldsborough","200",54.1,"
William Cabell Bruce ","100",45.2,0,0,0,1
"1071","1932","Maryland","Millard E. Tydings","100",66.2,"
Wallace Williams ","200",31.2,0,0,0,1
"1072","1934","Maryland","George L. P. Radcliffe","100",56.1,"
Joseph I. France ","200",42,0,0,0,1
"1073","1938","Maryland","Millard E. Tydings","100",68.3,"Oscar Lesser ","200",29.3,0,0,0,1
"1074","1940","Maryland","George L. P. Radcliffe","100",64.7,"
Harry W. Nice ","200",33.5,0,0,0,1
"1075","1944","Maryland","Millard E. Tydings","100",61.7,"Blanchard Randall, Jr. ","200",38.3,0,0,0,1
"1076","1946","Maryland","Herbert R. O'Conor","100",50.2,"David J. Markey ","200",49.8,0,0,1,1
"1077","1950","Maryland","John M. Butler","200",53,"
Millard E. Tydings ","100",46,0,0,0,1
"1078","1952","Maryland","James Glenn Beall","200",52.5,"
George P. Mahoney ","100",47.5,0,0,0,1
"1079","1956","Maryland","John M. Butler","200",53,"
George P. Mahoney ","100",47,0,0,0,1
"1080","1958","Maryland","James Glenn Beall","200",51,"
Thomas D'Alesandro, Jr. ","100",49,0,0,1,1
"1081","1962","Maryland","Daniel B. Brewster","100",62,"Edward T. Miller ","200",38,0,0,0,1
"1082","1964","Maryland","Joseph D. Tydings","100",62.8,"James Glenn Beall ","200",37.2,0,0,0,1
"1083","1968","Maryland","Charles Mathias, Jr.","200",47.8,"Daniel Brewster ","100",39.1,0,0,0,1
"1084","1970","Maryland","John Glenn Beall, Jr.","200",50.7,"Joseph Tydings ","100",48.1,0,0,0,1
"1085","1974","Maryland","Charles Mathias, Jr.","200",57.3,"Barbara Mikulski ","100",42.7,0,0,0,1
"1086","1976","Maryland","Paul Sarbanes","100",56.5,"John Glenn Beall Jr.  ","200",38.8,0,0,0,1
"1087","1980","Maryland","Charles Mathias Jr.","200",66.2,"Edward T. Conroy ","100",33.8,0,0,0,1
"1088","1982","Maryland","Paul Sarbanes","100",63.5,"
Lawrence Hogan ","200",36.5,0,0,0,1
"1089","1986","Maryland","Barbara Mikulski","100",60.8,"
Linda Chavez ","200",39.2,0,0,0,1
"1090","1988","Maryland","Paul Sarbanes","100",61.8,"
Alan Keyes ","200",38.2,0,0,0,1
"1091","1992","Maryland","Barbara Mikulski","100",71,"
Alan Keyes ","200",29,0,0,0,1
"1092","1994","Maryland","Paul Sarbanes","100",59.1,"
Bill Brock ","200",40.9,0,0,0,1
"1093","1998","Maryland","Barbara Mikulski","100",70.5,"
Ross Pierpont ","200",29.5,0,0,0,1
"1094","2000","Maryland","Paul Sarbanes","100",63.2,"
Paul Rappaport ","200",36.7,0,0,0,1
"1095","2004","Maryland","Barbara Mikulski","100",64.8,"
E. J. Pipkin ","200",33.7,0,0,0,1
"1096","2006","Maryland","Ben Cardin","100",54.2,"
Michael Steele ","200",44.2,0,0,0,1
"1097","2010","Maryland","Barbara Mikulski","100",61.8,"
Eric Wargotz ","200",36.3,0,0,0,1
"1098","2012","Maryland","Ben Cardin","100",56,"
Dan Bongino ","200",26.3,0,0,0,1
"1099","2016","Maryland","Chris Van Hollen","100",60.9,"
Kathy Szeliga ","200",35.7,0,0,0,1
"1100","2018","Maryland","Ben Cardin","100",64.9,"
Tony Campbell ","200",30.3,0,0,0,1
"1101","1926","Maine","Arthur J. Gould","200",71.8,"Fulton J. Redman ","100",28.2,0,0,0,1
"1102","1918","Maine","Bert M. Fernald,","200",55.4,"
Earl Newbert, ","100",44.6,0,0,0,1
"1103","1922","Maine","Frederick Hale","200",57.5,"
Oakley C. Curtis ","100",42.5,0,0,0,1
"1104","1924","Maine","Bert M. Fernald","200",60.4,"
Fulton J. Redman ","100",28.2,0,0,0,1
"1105","1928","Maine","Frederick Hale","200",69.6,"
Herbert E. Holmes ","100",30.4,0,0,0,1
"1106","1934","Maine","Frederick Hale","200",50.1,"
Frederick Harold Dubord ","100",49.7,0,0,1,1
"1107","1936","Maine","Wallace H. White, Jr.","200",50.8,"Louis J. Brann ","100",49.3,0,0,1,1
"1108","1940","Maine","Ralph O. Brewster","200",58.6,"
Louis J. Brann ","100",41.3,0,0,0,1
"1109","1942","Maine","Wallace White","200",66.7,"Fulton J. Redman ","100",33.3,0,0,0,1
"1110","1946","Maine","Owen Brewster","200",63.6,"Peter M. MacDonald ","100",36.5,0,0,0,1
"1111","1948","Maine","Margaret C. Smith","200",71.3,"Adrian H. Scolten ","100",28.7,0,0,0,1
"1112","1952","Maine","Frederick G. Payne","200",58.7,"
Roger P. Dube ","100",34.9,0,0,0,1
"1113","1954","Maine","Margaret C. Smith","200",58.6,"
Paul A. Fullam ","100",41.4,0,0,0,1
"1114","1958","Maine","Edmund S. Muskie","100",60.8,"
Frederick G. Payne ","200",39.2,0,0,0,1
"1115","1960","Maine","Margaret Chase Smith","200",61.7,"
Lucia M. Cormier ","100",38.4,0,0,0,1
"1116","1964","Maine","Edmund S. Muskie","100",66.6,"Clifford McIntire ","200",33.4,0,0,0,1
"1117","1966","Maine","Margaret Chase Smith","200",59,"
Elmer H. Violette ","100",41.1,0,0,0,1
"1118","1970","Maine","Edmund Muskie","100",61.9,"Neil S. Bishop ","200",38.3,0,0,0,1
"1119","1972","Maine","William Hathaway","100",53.2,"Margaret Chase Smith ","200",46.8,0,0,0,1
"1120","1976","Maine","Edmund Muskie","100",60.2,"Robert A. G. Monks ","200",39.8,0,0,0,1
"1121","1978","Maine","William Cohen","200",56.6,"William Hathaway ","100",33.9,0,0,0,1
"1122","1982","Maine","George Mitchell","100",60.9,"
David F. Emery ","200",39.1,0,0,0,1
"1123","1984","Maine","William Cohen","200",73.3,"
Libby Mitchell ","100",25.9,0,0,0,1
"1124","1988","Maine","George J. Mitchell","100",81.1,"
Jasper S. Wyman ","200",18.9,0,0,0,1
"1125","1990","Maine","William Cohen","200",61.4,"
Neil Rolde ","100",38.6,0,0,0,1
"1126","1994","Maine","Olympia Snowe","200",60.2,"
Thomas Andrews ","100",36.4,0,0,0,1
"1127","1996","Maine","Susan M. Collins","200",49.2,"
Joseph E. Brennan ","100",43.8,0,0,0,1
"1128","2000","Maine","Olympia Snowe","200",68.9,"
Mark Lawrence ","100",31.1,0,0,0,1
"1129","2002","Maine","Susan Collins","200",58.4,"
Chellie Pingree ","100",41.6,0,0,0,1
"1130","2006","Maine","Olympia Snowe","200",74.4,"
Jean Hay Bright ","100",20.5,0,0,0,1
"1131","2008","Maine","Susan Collins","200",61.3,"
Tom Allen ","100",38.6,0,0,0,1
"1132","2012","Maine","Angus King","Independent",52.9,"
Charles E. Summers, Jr. ","200",30.7,0,0,0,1
"1133","2014","Maine","Susan Collins","200",68.5,"
Shenna Bellows ","100",31.5,0,0,0,1
"1134","2018","Maine","Angus King","Independent",54.3,"
Eric Brakey ","200",35.2,0,0,0,1
"1135","1918","Louisiana","Edward James Gay Jr.","100",NA,NA,NA,NA,1,0,NA,1
"1136","1936","Louisiana","Rose McConnell Long","100",NA,NA,NA,NA,1,0,NA,1
"1137","1948","Louisiana","Russell B. Long","100",74.9,"Clem S. Clarke ","200",25.1,0,0,0,1
"1138","1918","Louisiana","Joseph E. Ransdell","100",NA,NA,NA,NA,1,0,NA,1
"1139","1920","Louisiana","Edwin S. Broussard, ","100",NA,NA,NA,NA,1,0,NA,1
"1140","1924","Louisiana","Joseph E. Ransdell","100",NA,NA,NA,NA,1,0,NA,1
"1141","1926","Louisiana","Edwin S. Broussard","100",NA,NA,NA,NA,1,0,NA,1
"1142","1932","Louisiana","John H. Overton","100",NA,NA,NA,NA,1,0,NA,1
"1143","1936","Louisiana","Allen J. Ellender","100",NA,NA,NA,NA,1,0,NA,1
"1144","1938","Louisiana","John H. Overton.","100",NA,NA,NA,NA,1,0,NA,1
"1145","1942","Louisiana","Allen J. Ellender","100",NA,NA,NA,NA,1,0,NA,1
"1146","1944","Louisiana","John H. Overton","100",NA,NA,NA,NA,1,0,NA,1
"1147","1948","Louisiana","Allen J. Ellender","100",NA,NA,NA,NA,1,0,NA,1
"1148","1950","Louisiana","Russell B. Long","100",87.7,"
Charles S. Gerth ","200",12.3,0,0,0,1
"1149","1954","Louisiana","Allen J. Ellender","100",NA,NA,NA,NA,1,0,NA,1
"1150","1956","Louisiana","Russell B. Long","100",NA,NA,NA,NA,1,0,NA,1
"1151","1960","Louisiana","Allen J. Ellender","100",79.8,"
George W. Reese Jr. ","200",20.2,0,0,0,1
"1152","1962","Louisiana","Russell B. Long","100",75.6,"Taylor W. O'Hearn ","200",24.4,0,0,0,1
"1153","1966","Louisiana","Allen J. Ellender","100",NA,NA,NA,NA,1,0,NA,1
"1154","1968","Louisiana","Russell B. Long","100",NA,NA,NA,NA,1,0,NA,1
"1155","1972","Louisiana","Bennett Johnston","100",55.2,"John McKeithen ","Independent",23.1,0,0,0,1
"1156","1974","Louisiana","Russell B. Long","100",NA,NA,NA,NA,1,0,NA,1
"1157","1978","Louisiana","J. Bennett Johnston","100",59.4,"Woody Jenkins ","100",40.6,0,0,0,1
"1158","1980","Louisiana","Russell B. Long","100",57.64,"Woody Jenkins ","100",38.75,0,0,0,1
"1159","1984","Louisiana","J. Bennett Johnston","100",85.7,"
Robert Max Ross ","200",8.9,0,0,0,1
"1160","1986","Louisiana","John Breaux","100",52.8,"
Henson Moore ","200",47.2,0,0,0,1
"1161","1992","Louisiana","John Breaux","100",73.07,"
Jon Khachaturian ","Independent",8.9,0,0,0,1
"1162","1996","Louisiana","Mary Landrieu","100",50.1,"
Woody Jenkins ","200",49.9,0,0,1,1
"1163","2002","Louisiana","Mary Landrieu","100",51.7,"
Suzanne Haik Terrell ","200",48.3,0,0,0,1
"1164","2008","Louisiana","Mary Landrieu","100",52.1,"
John Neely Kennedy ","200",45.7,0,0,0,1
"1165","2010","Louisiana","David Vitter","200",56.6,"
Charles Melancon ","100",37.7,0,0,0,1
"1166","2014","Louisiana","Bill Cassidy","200",55.9,"
Mary Landrieu ","100",44.1,0,0,0,1
"1167","2016","Louisiana","John N. Kennedy","200",60.65,"
Foster Campbell ","100",39.35,0,0,0,1
"1168","1940","Kentucky","Happy Chandler","100",58.3,"
Walter B. Smith ","200",41.7,0,0,0,1
"1169","1946","Kentucky","John S. Cooper","200",53.3,"John Y. Brown ","100",46.5,0,0,0,1
"1170","1950","Kentucky","Earle C. Clements","100",54.4,"
Charles I. Dawson ","200",45.6,0,0,0,1
"1171","1952","Kentucky","John S. Cooper","200",51.5,"
Thomas R. Underwood ","100",48.5,0,0,0,1
"1172","1956","Kentucky","John S. Cooper","200",53.2,"
Lawrence W. Wetherby ","100",46.8,0,0,0,1
"1173","1918","Kentucky","Augustus O. Stanley,","100",50.77,"
Ben Bruner, ","200",49.23,0,0,1,1
"1174","1920","Kentucky","Richard P. Ernst,","200",50.3,"
John C. W. Beckham, ","100",49.7,0,0,1,1
"1175","1924","Kentucky","Frederic M. Sackett","200",51.6,"
Augustus O. Stanley ","100",48.4,0,0,0,1
"1176","1926","Kentucky","Alben W. Barkley","100",51.8,"Richard P. Ernst ","200",48.2,0,0,0,1
"1177","1932","Kentucky","Alben W. Barkley","100",59.2,"
Maurice Thatcher ","200",40.5,0,0,0,1
"1178","1936","Kentucky","Marvel M. Logan","100",58.8,"Robert M. Lucas ","200",39.8,0,0,0,1
"1179","1938","Kentucky","Alben W. Barkley","100",62,"John P. Haswell ","200",38,0,0,0,1
"1180","1942","Kentucky","Happy Chandler","100",55.3,"Richard J. Colbert ","200",44.7,0,0,0,1
"1181","1944","Kentucky","Alben W. Barkley","100",54.8,"James Park ","200",44.9,0,0,0,1
"1182","1948","Kentucky","Virgil Chapman","100",51.4,"John S. Cooper ","200",48.3,0,0,0,1
"1183","1950","Kentucky","Earle C. Clements","100",54.2,"
Charles I. Dawson ","200",45.1,0,0,0,1
"1184","1954","Kentucky","Alben W. Barkley","100",54.5,"
John S. Cooper ","200",45.5,0,0,0,1
"1185","1956","Kentucky","Thruston Morton","200",50.4,"
Earle C. Clements ","100",49.7,0,0,1,1
"1186","1960","Kentucky","John S. Cooper","200",59.2,"
Keen Johnson ","100",40.8,0,0,0,1
"1187","1962","Kentucky","Thruston Morton","200",52.8,"Wilson W. Wyatt ","100",47.2,0,0,0,1
"1188","1966","Kentucky","John Sherman Cooper","200",64.5,"
John Y. Brown, Sr. ","100",35.5,0,0,0,1
"1189","1968","Kentucky","Marlow W. Cook","200",51.4,"Katherine Peden ","100",47.6,0,0,0,1
"1190","1974","Kentucky","Wendell Ford","100",53.5,"Marlow Cook ","200",44.1,0,0,0,1
"1191","1980","Kentucky","Wendell H. Ford","100",65.1,"Mary L. Foust ","200",34.9,0,0,0,1
"1192","1984","Kentucky","Mitch McConnell","200",49.9,"
Walter Huddleston ","100",NA,0,0,NA,1
"1193","1986","Kentucky","Wendell H. Ford","100",74.3,"
Jackson M. Andrews ","200",25.7,0,0,0,1
"1194","1990","Kentucky","Mitch McConnell","200",52.2,"
Harvey I. Sloane ","100",47.8,0,0,0,1
"1195","1992","Kentucky","Wendell H. Ford","100",62.9,"
David Williams ","200",35.8,0,0,0,1
"1196","1996","Kentucky","Mitch McConnell","200",55.5,"
Steve Beshear ","100",42.8,0,0,0,1
"1197","1998","Kentucky","Jim Bunning","200",49.7,"
Scotty Baesler ","100",49.2,0,0,1,1
"1198","2002","Kentucky","Mitch McConnell","200",64.7,"
Lois Combs Weinberg ","100",35.3,0,0,0,1
"1199","2008","Kentucky","Mitch McConnell","200",53,"
Bruce Lunsford ","100",47,0,0,0,1
"1200","2010","Kentucky","Rand Paul","200",55.8,"
Jack Conway ","100",44.2,0,0,0,1
"1201","2014","Kentucky","Mitch McConnell","200",56.1,"
Alison Lundergan Grimes ","100",40.7,0,0,0,1
"1202","2016","Kentucky","Rand Paul","200",57.27,"
Jim Gray ","100",42.73,0,0,0,1
"1203","1996","Kansas","Sam Brownback","200",53.9,"
Jill Docking ","100",43.3,0,0,0,1
"1204","1950","Kansas","Frank Carlson","200",55.2,"
Paul Aiken ","100",44.8,0,0,0,1
"1205","1962","Kansas","James B. Pearson","200",56.2,"Paul L. Aylward ","100",42.5,0,0,0,1
"1206","1918","Kansas","Arthur Capper,","200",63.69,"
William Thompson, ","100",33.73,0,0,0,1
"1207","1920","Kansas","Charles Curtis,","200",64,"
George H. Hodges, ","100",33.4,0,0,0,1
"1208","1924","Kansas","Arthur Capper","200",70.1,"
James Malone ","100",25.2,0,0,0,1
"1209","1926","Kansas","Charles Curtis,","200",63.6,"Charles Stephens ","100",34.7,0,0,0,1
"1210","1932","Kansas","George McGill","100",45.7,"
Ben S. Paulen ","200",42,0,0,0,1
"1211","1936","Kansas","Arthur Capper","200",51,"Omar B. Ketchum ","100",48.4,0,0,0,1
"1212","1938","Kansas","Clyde M. Reed","200",56.2,"George McGill ","100",43.8,0,0,0,1
"1213","1942","Kansas","Arthur Capper","200",57.1,"George McGill ","100",40.3,0,0,0,1
"1214","1944","Kansas","Clyde M. Reed","200",57.8,"Thurman Hill ","100",40.7,0,0,0,1
"1215","1948","Kansas","Andrew F. Schoeppel","200",54.9,"George McGill ","100",42.7,0,0,0,1
"1216","1950","Kansas","Frank Carlson","200",54.3,"
Paul Aiken ","100",43.8,0,0,0,1
"1217","1954","Kansas","Andrew F. Schoeppel","200",56.3,"
George McGill ","100",41.8,0,0,0,1
"1218","1956","Kansas","Frank Carlson","200",57.9,"
George Hart ","100",40.5,0,0,0,1
"1219","1960","Kansas","Andrew F. Schoeppel","200",54.6,"
Frank Theis ","100",43.8,0,0,0,1
"1220","1962","Kansas","Frank Carlson","200",62.4,"K. L. Smith ","100",35.9,0,0,0,1
"1221","1966","Kansas","James B. Pearson","200",52.2,"
James Floyd Breeding ","100",45.2,0,0,0,1
"1222","1968","Kansas","Bob Dole","200",60.1,"William I. Robinson ","100",38.7,0,0,0,1
"1223","1972","Kansas","James B. Pearson","200",71.4,"Arch Tetzlaff ","100",23,0,0,0,1
"1224","1974","Kansas","Bob Dole","200",50.9,"William R. Roy ","100",49.1,0,0,1,1
"1225","1978","Kansas","Nancy Kassebaum","200",53.9,"William R. Roy ","100",42.4,0,0,0,1
"1226","1980","Kansas","Bob Dole","200",63.8,"John Simpson ","100",36.2,0,0,0,1
"1227","1984","Kansas","Nancy Landon Kassebaum","200",76,"
James R. Maher ","100",21.2,0,0,0,1
"1228","1986","Kansas","Bob Dole","200",70.1,"
Guy MacDonald ","100",29.9,0,0,0,1
"1229","1990","Kansas","Nancy L. Kassebaum","200",73.6,"
Dick Williams ","100",26.4,0,0,0,1
"1230","1992","Kansas","Bob Dole","200",62.7,"
Gloria O'Dell ","100",31,0,0,0,1
"1231","1996","Kansas","Pat Roberts","200",62,"
Sally Thompson ","100",34.4,0,0,0,1
"1232","1998","Kansas","Sam Brownback","200",65.3,"
Paul Feleciano Jr. ","100",31.6,0,0,0,1
"1233","2002","Kansas","Pat Roberts","200",82.5,"
Steven A. Rosile ","Libertarian",9.1,0,0,0,1
"1234","2008","Kansas","Pat Roberts","200",60,"Jim Slattery ","100",36.4,0,0,0,1
"1235","2010","Kansas","Jerry Moran","200",70.3,"
Lisa Johnston ","100",26.2,0,0,0,1
"1236","2014","Kansas","Pat Roberts","200",53.1,"
Greg Orman ","Independent",42.5,0,0,0,1
"1237","2016","Kansas","Jerry Moran","200",62.1,"
Patrick Wiesner ","100",32.2,0,0,0,1
"1238","1922","Iowa","Smith W. Brookhart","200",63.1,"
Clyde L. Herring ","100",36.9,0,0,0,1
"1239","1926","Iowa","David W. Stewart","200",NA,NA,NA,NA,1,0,NA,1
"1240","1936","Iowa","Guy M. Gillette","100",51.9,"Berry F. Halden ","200",46.6,0,0,0,1
"1241","1918","Iowa","William S. Kenyon,","200",65.4,"
Charles Rollin Keyes, ","100",34.6,0,0,0,1
"1242","1920","Iowa","Albert B. Cummins,","200",61.4,"
Claude R. Porter, ","100",37.4,0,0,0,1
"1243","1924","Iowa","Smith W. Brookhart","200",50,"
Daniel F. Steck ","100",49.9,0,0,1,1
"1244","1926","Iowa","Smith W. Brookhart","200",56.6,"Claude R. Porter ","100",43.4,0,0,0,1
"1245","1932","Iowa","Richard L. Murphy","100",54.9,"
Henry Field ","200",40.8,0,0,0,1
"1246","1936","Iowa","Clyde L. Herring","100",50.5,"Lester J. Dickinson ","200",47.1,0,0,0,1
"1247","1938","Iowa","Guy M. Gillette","100",49.7,"Lester J. Dickinson ","200",49.4,0,0,1,1
"1248","1942","Iowa","George A. Wilson","200",58,"Clyde L. Herring ","100",41.7,0,0,0,1
"1249","1944","Iowa","Bourke B. Hickenlooper","200",51.3,"Guy M. Gillette ","100",48.4,0,0,0,1
"1250","1948","Iowa","Guy M. Gillette","100",57.8,"George A. Wilson ","200",41.6,0,0,0,1
"1251","1950","Iowa","Bourke B. Hickenlooper","200",54.8,"
Albert J. Loveland ","100",44.7,0,0,0,1
"1252","1954","Iowa","Thomas E. Martin","200",52.2,"
Guy M. Gillette ","100",47.5,0,0,0,1
"1253","1956","Iowa","Bourke B. Hickenlooper","200",53.9,"
R. M. Evans ","100",46.1,0,0,0,1
"1254","1960","Iowa","Jack Miller","200",51.9,"
Herschel C. Loveless ","100",48.1,0,0,0,1
"1255","1962","Iowa","Bourke B. Hickenlooper","200",53.4,"E. B. Smith ","100",46.6,0,0,0,1
"1256","1966","Iowa","Jack Miller","200",60.9,"
E. B. Smith ","100",37.8,0,0,0,1
"1257","1968","Iowa","Harold Hughes","100",50.3,"David M. Stanley ","200",49.7,0,0,1,1
"1258","1972","Iowa","Dick Clark","100",55.1,"Jack Miller ","200",44.1,0,0,0,1
"1259","1974","Iowa","John Culver","100",50,"David M. Stanley ","200",49.3,0,0,1,1
"1260","1978","Iowa","Roger Jepsen","200",51.1,"Dick Clark ","100",47.9,0,0,0,1
"1261","1980","Iowa","Chuck Grassley","200",53.5,"John Culver ","100",45.5,0,0,0,1
"1262","1984","Iowa","Tom Harkin","100",55.5,"
Roger Jepsen ","200",43.7,0,0,0,1
"1263","1986","Iowa","Chuck Grassley","200",66,"
John P. Roehrick ","100",34,0,0,0,1
"1264","1990","Iowa","Tom Harkin","100",54,"
Tom Tauke ","200",46,0,0,0,1
"1265","1992","Iowa","Chuck Grassley","200",69.6,"
Jean Hall Lloyd-Jones ","100",27.2,0,0,0,1
"1266","1996","Iowa","Tom Harkin","100",51.8,"
Jim Ross Lightfoot ","200",46.7,0,0,0,1
"1267","1998","Iowa","Chuck Grassley","200",68.4,"
David Osterberg ","100",30.5,0,0,0,1
"1268","2002","Iowa","Tom Harkin","100",54.2,"
Greg Ganske ","200",43.8,0,0,0,1
