"","year","State","District","Politician","Politician_Party","Politician_Vote_Share","Opp","Opp_Party","Opp_Vote_Share","Unopposed","Wiki_Missing","Close_Election","Leg_Body"
"2938",1954,"South Carolina","4","Robert T. Ashmore","100",99.2,"Mrs. Lena Bellotts ","200",0.8,0,0,0,2
"2939",1954,"South Carolina","5","James P. Richards","100",NA,NA,NA,NA,1,0,NA,2
"2940",1954,"South Carolina","6","John L. McMillan","100",98.9,"Vernon Johnson ","200",1.1,0,0,0,2
"2941",1956,"South Carolina","1","L. Mendel Rivers","100",NA,NA,NA,NA,1,0,NA,2
"2942",1956,"South Carolina","2","John J. Riley","100",NA,NA,NA,NA,1,0,NA,2
"2943",1956,"South Carolina","3","William Jennings Bryan Dorn","100",93.2,"Maka Knox ","200",6.8,0,0,0,2
"2944",1956,"South Carolina","4","Robert T. Ashmore","100",85.1,"Dan H. Wallace, Jr. ","200",14.9,0,0,0,2
"2945",1956,"South Carolina","5","Robert W. Hemphill","100",NA,NA,NA,NA,1,0,NA,2
"2946",1956,"South Carolina","6","John L. McMillan","100",NA,NA,NA,NA,1,0,NA,2
"2947",1958,"South Carolina","1","L. Mendel Rivers","100",NA,NA,NA,NA,1,0,NA,2
"2948",1958,"South Carolina","2","John J. Riley","100",NA,NA,NA,NA,1,0,NA,2
"2949",1958,"South Carolina","3","William Jennings Bryan Dorn","100",NA,NA,NA,NA,1,0,NA,2
"2950",1958,"South Carolina","4","Robert T. Ashmore","100",NA,NA,NA,NA,1,0,NA,2
"2951",1958,"South Carolina","5","Robert W. Hemphill","100",NA,NA,NA,NA,1,0,NA,2
"2952",1958,"South Carolina","6","John L. McMillan","100",NA,NA,NA,NA,1,0,NA,2
"2953",1960,"South Carolina","1","L. Mendel Rivers","100",NA,NA,NA,NA,1,0,NA,2
"2954",1960,"South Carolina","2","John J. Riley","100",NA,NA,NA,NA,1,0,NA,2
"2955",1960,"South Carolina","3","William Jennings Bryan Dorn","100",NA,NA,NA,NA,1,0,NA,2
"2956",1960,"South Carolina","4","Robert T. Ashmore","100",NA,NA,NA,NA,1,0,NA,2
"2957",1960,"South Carolina","5","Robert W. Hemphill","100",NA,NA,NA,NA,1,0,NA,2
"2958",1960,"South Carolina","6","John L. McMillan","100",NA,NA,NA,NA,1,0,NA,2
"2959",1962,"South Carolina","2","Corinne Boyd Riley","100",100,"",NA,NA,0,0,NA,2
"2960",1962,"South Carolina","1","L. Mendel Rivers","100",NA,NA,NA,NA,1,0,NA,2
"2961",1962,"South Carolina","2","Albert Watson","100",52.8,"Floyd Spence ","200",47.2,0,0,0,2
"2962",1962,"South Carolina","3","William Jennings Bryan Dorn","100",NA,NA,NA,NA,1,0,NA,2
"2963",1962,"South Carolina","4","Robert T. Ashmore","100",NA,NA,NA,NA,1,0,NA,2
"2964",1962,"South Carolina","5","Robert W. Hemphill","100",94,"Robert M. Doster ","200",6,0,0,0,2
"2965",1962,"South Carolina","6","John L. McMillan","100",NA,NA,NA,NA,1,0,NA,2
"2966",1966,"South Carolina","1","L. Mendel Rivers","100",NA,NA,NA,NA,1,0,NA,2
"2967",1966,"South Carolina","2","Albert Watson","200",64.3,"
Fred LeClercq ","100",35.7,0,0,0,2
"2968",1966,"South Carolina","3","William Jennings Bryan Dorn","100",57.8,"
John Grisso ","200",42.2,0,0,0,2
"2969",1966,"South Carolina","4","Robert T. Ashmore","100",NA,NA,NA,NA,1,0,NA,2
"2970",1966,"South Carolina","5","Thomas S. Gettys","100",NA,NA,NA,NA,1,0,NA,2
"2971",1966,"South Carolina","6","John L. McMillan","100",61.7,"
Archie Odom ","200",38.3,0,0,0,2
"2972",1968,"South Carolina","1","L. Mendel Rivers","100",NA,NA,NA,NA,1,0,NA,2
"2973",1968,"South Carolina","2","Albert Watson","200",57.6,"Frank K. Sloan ","100",42.4,0,0,0,2
"2974",1968,"South Carolina","3","William Jennings Bryan Dorn","100",66.1,"John Grisso ","200",31.6,0,0,0,2
"2975",1968,"South Carolina","4","James R. Mann","100",61.2,"Charles Bradshaw ","200",38.8,0,0,0,2
"2976",1968,"South Carolina","5","Thomas S. Gettys","100",74.7,"Hugh J. Boyd ","200",21.8,0,0,0,2
"2977",1968,"South Carolina","6","John L. McMillan","100",58.3,"Ray Harris ","200",39.9,0,0,0,2
"2978",1970,"South Carolina","1","L. Mendel Rivers","100",NA,NA,NA,NA,1,0,NA,2
"2979",1970,"South Carolina","2","Floyd Spence","200",53.1,"
Heyward McDonald ","100",46.4,0,0,0,2
"2980",1970,"South Carolina","3","William Jennings Bryan Dorn","100",75.2,"
H. Grady Ballard ","200",24.8,0,0,0,2
"2981",1970,"South Carolina","4","James R. Mann","100",NA,NA,NA,NA,1,0,NA,2
"2982",1970,"South Carolina","5","Thomas S. Gettys","100",65.9,"
Lenard Phillips ","200",33,0,0,0,2
"2983",1970,"South Carolina","6","John L. McMillan","100",64.1,"
Edward B. Baskin ","200",34.9,0,0,0,2
"2984",1972,"South Carolina","1","Mendel Jackson Davis","100",54.5,"J. Sidi Limehouse III ","200",45.5,0,0,0,2
"2985",1972,"South Carolina","2","Floyd Spence","200",NA,NA,NA,NA,1,0,NA,2
"2986",1972,"South Carolina","3","William Jennings Bryan Dorn","100",75.2,"Roy Etheridge ","200",24.8,0,0,0,2
"2987",1972,"South Carolina","4","James R. Mann","100",66.1,"Wayne N. Whatley ","200",33.9,0,0,0,2
"2988",1972,"South Carolina","5","Thomas S. Gettys","100",60.9,"Lenard Phillips ","200",39.1,0,0,0,2
"2989",1972,"South Carolina","6","Edward Lunn Young","200",54.4,"John Jenrette ","100",45.6,0,0,0,2
"2990",1974,"South Carolina","1","Mendel Jackson Davis","100",72.7,"George B. Rast ","200",25.9,0,0,0,2
"2991",1974,"South Carolina","2","Floyd Spence","200",56.1,"Matthew J. Perry ","100",43,0,0,0,2
"2992",1974,"South Carolina","3","Butler Derrick","100",61.8,"Marshall J. Parker ","200",38.2,0,0,0,2
"2993",1974,"South Carolina","4","James R. Mann","100",63.3,"Robert L. Watkins ","200",36.7,0,0,0,2
"2994",1974,"South Carolina","5","Kenneth Lamar Holland","100",61.4,"Lenard Phillips ","200",37.8,0,0,0,2
"2995",1974,"South Carolina","6","John Jenrette","100",52,"Edward Lunn Young ","200",48,0,0,0,2
"2996",1976,"South Carolina","1","Mendel Jackson Davis","100",68.9,"Lonnie Rowell ","200",31.1,0,0,0,2
"2997",1976,"South Carolina","2","Floyd Spence","200",57.5,"Clyde Burns Livingston ","100",41.8,0,0,0,2
"2998",1976,"South Carolina","3","Butler Derrick","100",NA,NA,NA,NA,1,0,NA,2
"2999",1976,"South Carolina","4","James R. Mann","100",73.6,"Robert L. Watkins ","200",26.4,0,0,0,2
"3000",1976,"South Carolina","5","Kenneth Lamar Holland","100",51.4,"Robert C. Richardson Jr. ","200",48.3,0,0,0,2
"3001",1976,"South Carolina","6","John Jenrette","100",55.5,"Edward Lunn Young ","200",44,0,0,0,2
"3002",1978,"South Carolina","1","Mendel Jackson Davis","100",60.4,"C. C. Wannamaker ","200",39.6,0,0,0,2
"3003",1978,"South Carolina","2","Floyd Spence","200",57.5,"Jack Solomon Bass ","100",42.5,0,0,0,2
"3004",1978,"South Carolina","3","Butler Derrick","100",81.9,"Anthony Panuccio ","200",18.1,0,0,0,2
"3005",1978,"South Carolina","4","Carroll A. Campbell Jr.","200",52.3,"Max M. Heller ","100",46,0,0,0,2
"3006",1978,"South Carolina","5","Kenneth Lamar Holland","100",82.7,"Harold Hough ","Indepdendent",17.3,0,0,0,2
"3007",1978,"South Carolina","6","John Jenrette","100",NA,NA,NA,NA,1,0,NA,2
"3008",1980,"South Carolina","1","Thomas F. Hartnett","200",51.7,"Charles D. Ravenel ","100",48.3,0,0,0,2
"3009",1980,"South Carolina","2","Floyd Spence","200",55.7,"Tom Turnipseed ","100",44.3,0,0,0,2
"3010",1980,"South Carolina","3","Butler Derrick","100",59.8,"Marshall Parker ","200",39.4,0,0,0,2
"3011",1980,"South Carolina","4","Carroll A. Campbell Jr.","200",92.9,"Thomas P. Waldenfels ","Libertarian",7.1,0,0,0,2
"3012",1980,"South Carolina","5","Kenneth Lamar Holland","100",87.5,"Thomas Campbell ","Libertarian",12.5,0,0,0,2
"3013",1980,"South Carolina","6","John Light Napier","200",51.8,"John Jenrette ","100",48.2,0,0,0,2
"3014",1982,"South Carolina","1","Thomas F. Hartnett","200",54.3,"
W. Mullins McLeod ","100",44.9,0,0,0,2
"3015",1982,"South Carolina","2","Floyd Spence","200",58.5,"
Ken Mosely ","100",41.5,0,0,0,2
"3016",1982,"South Carolina","3","Butler Derrick","100",90.4,"
Gordon T. Davis ","Libertarian",9.6,0,0,0,2
"3017",1982,"South Carolina","4","Carroll A. Campbell Jr.","200",63.3,"
Marion E. Tyus ","100",36.7,0,0,0,2
"3018",1982,"South Carolina","5","John Spratt","100",67.6,"
John S. Wilkerson ","200",32.4,0,0,0,2
"3019",1982,"South Carolina","6","Robin Tallon","100",52.5,"
John Light Napier ","200",47.5,0,0,0,2
"3020",1986,"South Carolina","1","Arthur Ravenel Jr.","200",52,"
Jimmy Stuckey ","100",48,0,0,0,2
"3021",1986,"South Carolina","2","Floyd Spence","200",53.6,"
Fred Zeigler ","100",46.4,0,0,0,2
"3022",1986,"South Carolina","3","Butler Derrick","100",68.4,"
Richard Dickison ","200",31.6,0,0,0,2
"3023",1986,"South Carolina","4","Liz J. Patterson","100",51.4,"
Bill Workman ","200",47.3,0,0,0,2
"3024",1986,"South Carolina","5","John Spratt","100",NA,NA,NA,NA,1,0,NA,2
"3025",1986,"South Carolina","6","Robin Tallon","100",75.5,"
Robbie Cunningham ","200",24.5,0,0,0,2
"3026",1988,"South Carolina","1","Arthur Ravenel Jr.","200",63.8,"Wheeler Tillman ","100",36.2,0,0,0,2
"3027",1988,"South Carolina","2","Floyd Spence","200",52.8,"Jim Leventis ","100",46.7,0,0,0,2
"3028",1988,"South Carolina","3","Butler Derrick","100",53.7,"Henry Jordan ","200",45.6,0,0,0,2
"3029",1988,"South Carolina","4","Liz J. Patterson","100",52.2,"Knox White ","200",47.8,0,0,0,2
"3030",1988,"South Carolina","5","John M. Spratt Jr.","100",69.8,"Robert K. Carley ","200",30.2,0,0,0,2
"3031",1988,"South Carolina","6","Robin Tallon","100",76.1,"Bob Cunningham ","200",23.9,0,0,0,2
"3032",1990,"South Carolina","1","Arthur Ravenel Jr.","200",65.5,"
Eugene Platt ","100",34.5,0,0,0,2
"3033",1990,"South Carolina","2","Floyd Spence","200",88.7,"
Geb Sommer ","Libertarian",10.9,0,0,0,2
"3034",1990,"South Carolina","3","Butler Derrick","100",58,"
Ray Haskett ","200",41.9,0,0,0,2
"3035",1990,"South Carolina","4","Liz J. Patterson","100",61.4,"
Terry Haskins ","200",38.4,0,0,0,2
"3036",1990,"South Carolina","5","John M. Spratt Jr.","100",99.9,"",NA,NA,0,0,NA,2
"3037",1990,"South Carolina","6","Robin Tallon","100",99.6,"",NA,NA,0,0,NA,2
"3038",1996,"South Carolina","1","Mark Sanford","200",96.36,"Joseph Innella ","Natural Law",3.55,0,0,0,2
"3039",1996,"South Carolina","2","Floyd Spence","200",89.76,"Maurice Raiford ","Natural Law",10.05,0,0,0,2
"3040",1996,"South Carolina","3","Lindsey Graham","200",60.29,"Debbie Dorn ","100",38.73,0,0,0,2
"3041",1996,"South Carolina","4","Bob Inglis","200",70.92," Darrell Curry ","100",27.78,0,0,0,2
"3042",1996,"South Carolina","5","John Spratt","100",54.08,"Larry Bigham ","200",45.26,0,0,0,2
"3043",1996,"South Carolina","6","Jim Clyburn","100",69.41,"Gary McLeod ","200",30.03,0,0,0,2
"3044",1998,"South Carolina","3","Lindsey Graham","200",NA,NA,NA,NA,1,0,NA,2
"3045",1998,"South Carolina","4","Jim DeMint","200",57.7,"Glenn Reese ","100",40.2,0,0,0,2
"3046",1998,"South Carolina","6","Jim Clyburn","100",72.6,"Gary McLeod ","200",25.8,0,0,0,2
"3047",2002,"South Carolina","1","Henry Brown","200",89.56,"James E. Dunn ","UC",6.91,0,0,0,2
"3048",2002,"South Carolina","2","Joe Wilson","200",84.12,"Mark Whittington ","UC",10.03,0,0,0,2
"3049",2002,"South Carolina","3","Gresham Barrett","200",67.14,"George Brightharp ","100",31.28,0,0,0,2
"3050",2002,"South Carolina","4","Jim DeMint","200",69,"Peter Ashy ","100",29.67,0,0,0,2
"3051",2002,"South Carolina","5","John Spratt","100",85.87,"Doug Kendall ","L",7.76,0,0,0,2
"3052",2002,"South Carolina","6","Jim Clyburn","100",66.98,"Gary McLeod ","200",32.03,0,0,0,2
"3053",2004,"South Carolina","1","Henry E. Brown Jr.","200",87.9,"
James Dunn ","Green",12.1,0,0,0,2
"3054",2004,"South Carolina","2","Joe Wilson","200",65.1,"
Michael Ray Ellisor ","100",33.3,0,0,0,2
"3055",2004,"South Carolina","3","J. Gresham Barrett","200",NA,NA,NA,NA,1,0,NA,2
"3056",2004,"South Carolina","4","Bob Inglis","200",69.8,"
Brandon Brown ","100",29,0,0,0,2
"3057",2004,"South Carolina","5","John Spratt","100",63.1,"
Albert Spencer ","200",36.9,0,0,0,2
"3058",2004,"South Carolina","6","Jim Clyburn","100",67.1,"
Gary McLeodConstitution ","200",32.9,0,0,0,2
"3059",2006,"South Carolina","1","Henry E. Brown Jr.","200",59.9,"
Randy Maatta ","100",37.9,0,0,0,2
"3060",2006,"South Carolina","2","Joe Wilson","200",62.6,"
Michael Ray Ellisor ","100",37.3,0,0,0,2
"3061",2006,"South Carolina","3","J. Gresham Barrett","200",62.9,"
Lee Ballenger ","100",37.1,0,0,0,2
"3062",2006,"South Carolina","4","Bob Inglis","200",64.2,"
William Griffith ","100",32,0,0,0,2
"3063",2006,"South Carolina","5","John Spratt","100",56.9,"
Ralph Norman ","200",43.1,0,0,0,2
"3064",2006,"South Carolina","6","Jim Clyburn","100",64.4,"
Gary McLeod ","200",34.2,0,0,0,2
"3065",2008,"South Carolina","1","Henry E. Brown Jr.","200",51.9,"
Linda Ketner ","100",47.9,0,0,0,2
"3066",2008,"South Carolina","2","Joe Wilson","200",53.7,"
Robert Miller ","100",46.2,0,0,0,2
"3067",2008,"South Carolina","3","J. Gresham Barrett","200",64.7,"
Jane Ballard Dyer ","100",35.2,0,0,0,2
"3068",2008,"South Carolina","4","Bob Inglis","200",60.1,"
Paul Corden ","100",36.9,0,0,0,2
"3069",2008,"South Carolina","5","John Spratt","100",61.6,"
Albert F. Spencer ","200",37,0,0,0,2
"3070",2008,"South Carolina","6","Jim Clyburn","100",67.5,"
Nancy Harrelson ","200",32.5,0,0,0,2
"3071",2012,"South Carolina","1","Tim Scott","200",62.4,"Bobbie Rose ","100/Working Families",35.4,0,0,0,2
"3072",2012,"South Carolina","2","Joe Wilson ","200",NA,NA,NA,NA,1,0,NA,2
"3073",2012,"South Carolina","3","Jeff Duncan","200",66.7,"Brian Doyle ","100",33.3,0,0,0,2
"3074",2012,"South Carolina","4","Trey Gowdy","200",65,"Deb Morrow ","100/Working Families",33.8,0,0,0,2
"3075",2012,"South Carolina","5","Mick Mulvaney","200",55.6,"Joyce Knott ","100/Working Families",44.4,0,0,0,2
"3076",2012,"South Carolina","6","Jim Clyburn","100",94.4,"Nammu Muhammad ","Green",5.6,0,0,0,2
"3077",2012,"South Carolina","7","Tom Rice","200",54.9,"Gloria Bromell Tinubu ","100/Working Families",45.1,0,0,0,2
"3078",2018,"South Carolina","1","Joe Cunningham","100",50.7,"
Katie Arrington ","200",49.3,0,0,1,2
"3079",2018,"South Carolina","2","Joe Wilson","200",56.3,"
Sean Carrigan ","100",42.5,0,0,0,2
"3080",2018,"South Carolina","3","Jeff Duncan","200",67.8,"
Mary Geren ","100",31,0,0,0,2
"3081",2018,"South Carolina","4","William Timmons","200",59.6,"
Brandon Brown ","100",36.6,0,0,0,2
"3082",2018,"South Carolina","5","Ralph Norman","200",57.1,"
Archie Parnell ","100",41.5,0,0,0,2
"3083",2018,"South Carolina","6","Jim Clyburn","100",70.2,"
Gerhard Gressmann ","200",28.3,0,0,0,2
"3084",2018,"South Carolina","7","Tom Rice","200",59.6,"
Robert Williams ","100",40.4,0,0,0,2
"3085",1920,"Rhode Island","1","Clark Burdick","200",67.9,"Patrick J. Boyle ","100",32.1,0,0,0,2
"3086",1920,"Rhode Island","2","Walter R. Stiness","200",62.5,"Luigi De Pasquale ","100",35.1,0,0,0,2
"3087",1920,"Rhode Island","3","Ambrose Kennedy","200",59.7,"Herve J. Legace ","100",38.4,0,0,0,2
"3088",1922,"Rhode Island","1","Clark Burdick","200",54.1,"
George F. O'Shaunessy ","100",45.9,0,0,0,2
"3089",1922,"Rhode Island","2","Richard S. Aldrich","200",52.6,"
Percy J. Cantwell ","100",47.4,0,0,0,2
"3090",1922,"Rhode Island","3","Jeremiah E. O'Connell","100",62.6,"
Isaac Gill ","200",37.4,0,0,0,2
"3091",1924,"Rhode Island","1","Clark Burdick","200",65.2,"Alfred H. Jones ","100",34.8,0,0,0,2
"3092",1924,"Rhode Island","2","Richard S. Aldrich","200",63.9,"Charles M. Hall ","100",36.1,0,0,0,2
"3093",1924,"Rhode Island","3","Jeremiah E. O'Connell","100",51.7,"Louis Monast ","200",48.3,0,0,0,2
"3094",1926,"Rhode Island","1","Clark Burdick","200",63,"Arthur L. Conaty ","100",37,0,0,0,2
